Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,329000,2,-22500,-6.4,333500,343000,325000,33725012,11191087320641,1923425662032000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,2070000,2,-228000,-9.92,2142000,2188000,2070000,5778751,12216749328700,1475293895550000,712702365,STK
005935,KR7005931001,삼성전자우,KOSPI,,211000,2,-9000,-4.09,206500,217500,205500,5957879,1250830623000,169300323833000,802371203,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1258000,2,-103000,-7.57,1332000,1334000,1225000,883256,1111167690500,166003649588000,131958386,STK
005380,KR7005380001,현대차,KOSPI,,700000,3,0,0.0,691000,715000,650000,1525982,1034123475500,143330436200000,204757766,STK
009150,KR7009150004,삼성전기,KOSPI,,1757000,1,41000,2.39,1621000,1845000,1615000,1612482,2807073718000,131236823872000,74693696,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,414000,2,-8000,-1.9,422500,428500,405500,445122,183966503750,96876000000000,234000000,STK
032830,KR7032830002,삼성생명,KOSPI,,412500,2,-25500,-5.82,397000,420000,395500,509906,207518563769,82500000000000,200000000,STK
028260,KR7028260008,삼성물산,KOSPI,,460500,2,-74500,-13.93,504000,504000,438000,837033,382790206382,74678171050500,162167581,STK
329180,KR7329180004,HD현대중공업,KOSPI,,664000,1,13000,2.0,649000,679000,645000,384815,254860522500,69694253400000,104961225,STK
105560,KR7105560007,KB금융,KOSPI,,171600,1,7400,4.51,171500,175700,166000,2955491,503487064800,63981138078000,372850455,STK
012330,KR7012330007,현대모비스,KOSPI,,697000,2,-51000,-6.82,708000,723000,665000,935096,648061702000,63240610351000,90732583,STK
000270,KR7000270009,기아,KOSPI,,161100,2,-3200,-1.95,162900,163000,154600,1077583,171264223725,62895533977800,390412998,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1340000,2,-10000,-0.74,1377000,1408000,1329000,47701,64347677500,62029874340000,46290951,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,95600,2,-3600,-3.63,100000,100100,92600,3954422,374903489900,61237645557600,640561146,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1049000,2,-19000,-1.78,1060000,1069000,1021000,185271,193149433000,54090007649000,51563401,STK
055550,KR7055550008,신한지주,KOSPI,,107500,1,7400,7.39,106200,109800,102500,3611830,383557051250,51025343807500,474654361,STK
066570,KR7066570003,LG전자,KOSPI,,303000,2,-25000,-7.62,320000,336000,294500,6066192,1871369405750,49354045314000,162884638,STK
006400,KR7006400006,삼성SDI,KOSPI,,568000,2,-39000,-6.43,599000,601000,555000,542951,309391668500,45772581040000,80585530,STK
034730,KR7034730002,SK,KOSPI,,625000,2,-43000,-6.44,648000,648000,585000,281675,173353768500,45314189375000,72502703,STK
035420,KR7035420009,NAVER,KOSPI,,255500,2,-12000,-4.49,254500,266500,245000,3143220,798990802250,40081249768000,156873776,STK
068270,KR7068270008,셀트리온,KOSPI,,171400,2,-5100,-2.89,179700,179800,169900,603099,103498414550,37987958589600,221633364,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,956000,2,-43000,-4.3,996000,997000,931000,127356,121918260500,34461061060000,36047135,STK
042660,KR7042660001,한화오션,KOSPI,,112200,2,-2900,-2.52,113200,115700,109400,998501,111710194700,34379582806800,306413394,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,227000,2,-12500,-5.22,232000,235000,217000,675315,152085729750,34050000000000,150000000,STK
086790,KR7086790003,하나금융지주,KOSPI,,123600,1,3000,2.49,125700,126400,120100,1115521,137464060050,33911853652800,274367748,STK
006800,KR7006800007,미래에셋증권,KOSPI,,56400,2,-1900,-3.26,59800,60200,55500,3519583,200504330800,31559572032000,559566880,STK
298040,KR7298040007,효성중공업,KOSPI,,3380000,2,-108000,-3.1,3420000,3494000,3270000,35963,121333002500,31516972240000,9324548,STK
000810,KR7000810002,삼성화재,KOSPI,,695000,2,-35000,-4.79,705000,728000,682000,343227,238781792698,31029993735000,44647473,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,390000,2,-12000,-2.99,401500,405000,375000,432637,167212768250,30904195530000,79241527,STK
000150,KR7000150003,두산,KOSPI,,1740000,2,-60000,-3.33,1748000,1769000,1605000,132916,225359207000,28177272900000,16193835,STK
011070,KR7011070000,LG이노텍,KOSPI,,1160000,2,-13000,-1.11,1091000,1242000,1074000,889526,1037783022500,27453844120000,23667107,STK
042700,KR7042700005,한미반도체,KOSPI,,283000,2,-21000,-6.91,294000,298500,278000,967822,277477549250,26973352600000,95312200,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,379000,2,-500,-0.13,379500,385000,368000,274635,103115998750,26823010964000,70773116,STK
